Key,Type,English,Desc,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PR_BC_HISTORY_OF_VIOLENCE_DESC,Text,"<b>Damage +10%, Willpower -2</b> <i>In the past, you hurt some people. They probably deserved it</i>",,傷害+10%，意志力-2,,,,,"<b>Урон +10%, Воля -2</b>
<i>В прошлой жизни вам приходилось много убивать. Они это заслужили, наверное...</i>",,
PR_BC_DAREDEVIL,Text,DAREDEVIL,,夜魔俠,,,,,ТЯЖЕЛОЕ ДЕТСТВО,,
PR_BC_DAREDEVIL_DESC,Text,"<b>Damage +10%, Accuracy -10%</b> <i>In the world you were born to, you have to live dangerously if at all. Strike first, strike hard, aim not</i>",,傷害+10%，準確度-10%,,,,,"<b>Урон +10%, точность -10%</b>
<i>В мире, где вы родились, приходилось всегда ходить по краю. Бей первым, бей сильно, не думай!</i>",,
PR_BC_DAMAGED_AMYGDALA,Text,DAMAGED AMYGDALA,,杏仁核受損,,,,,БЕССТРАШНЫЙ,,
PR_BC_DAMAGED_AMYGDALA_DESC,Text,"<b>Gain 'Psychic Scream Immunity'</b> <i>All brains are different, and yours couldn't take seeing your family return as sea monsters</i>",,獲得「心靈尖叫免疫」,,,,,"<b>Иммунитет к психическому воплю.</b>
<i>Все мозги устроены по разному, и ваши эмоции просто исчезли при виде родных, вернувшихся с того света в виде морских монстров.</i>",,
PR_BC_SANITATION_EXPERT,Text,SANITATION EXPERT,,環衛專家,,,,,ЧИСТИЛЬЩИК,,
PR_BC_SANITATION_EXPERT_DESC,Text,"<b>Immune to goo</b> <i>Robots can't do everything. Grime, dirt, slime, ooze, yuck, sludge: you have been through it all and come out on the other sideг</i>",,免疫黏性,,,,,"<b>Иммунитет к слизи.</b>
<i>Роботы не могут делать всю работу. Грязь, слизь, плесень, подозрительные пятна: вы на этом собаку съели и не одну!</i>",,
PR_BC_LAB_ASSISTANT,Text,LAB ASSISTANT,,實驗室助理,,,,,УЧЕНЫЙ,,
PR_BC_LAB_ASSISTANT_DESC,Text,<b>Acid Resistance</b> <i>All those little accidents throughout the years have taught you a lot about safely dealing with acid spills</i>,,耐酸性,,,,,"<b>Защита от кислоты.</b>
<i>Годы в лаборатории многому научили вас о мерах предосторожности при работе с кислотой.</i>",,
PR_BC_ROCKETEER,Text,ROCKETEER,,火箭人,,,,,ЛЮБИТЕЛЬ АВИАЦИИ,,
PR_BC_ROCKETEER_DESC,Text,<b>Jetpack Proficiency</b> <i>Since you were a child you dreamt of flying rockets. Perhaps now you can!</i>,,噴射背包熟練度,,,,,"<b>Знание реактивного ранца.</b>
<i>С самого детства вы мечтали летать. И вот, мечты сбываются!</i>",,
PR_BC_PRIVILEGED,Text,PRIVILEGED,,偵查兵,,,,,БЫВШИЙ МИЛЛИОНЕР,,
PR_BC_PRIVILEGED_DESC,Text,"<b>Speed +2, Perception +4, Carry Weight -25%</b> <i>You were riding out the Apocalypse in First Class and letting others carry your load for you. It didn't last, and the run for your life that followed gave you a new awareness.</i>",,速度+2，感知+4，承載重量-25%,,,,,"<b>Скорость +2, Восприятие +4, Грузоподъемность -25%</b>
<i>Вы улетали от Апокалипсиса в первом классе, а прислуга несла ваш багаж. Но борьба за выживание привела к переосмыслению жизненных ценностей.</i>",,
PR_BC_FRENZY,Text,FRENZY,,瘋狂,,,,,ИССУПЛЕНИЕ,,
PR_BC_FRENZY_DESC,Text,"Instils Frenzy in friendly characters within 20 tiles for two turns, increasing their Speed by 33% and making them immune to panic",,讓 20 格內的友方角色陷入瘋狂狀態，持續兩回合，將他們的速度提高 33%，並使他們免疫恐慌,,,,,Союзники в радиусе 20 клеток впадают в Иссупление на 2 хода (невосприимчивость к панике и увеличение скорости на 33%),,
PR_BC_FRENZY_STATUS_DESC,Text,Speed increased by 33% and immune to panic,,速度提高 33% 且免疫恐慌,,,,,"Скорость увеличена на 33%, невосприимчивость к панике",,
KEY_RETURNFIRE_DESCRIPTION,Text,"Shoot back at an enemy when it attacks, provided the soldier is using a direct-fire projectile weapon with proficiency, and the enemy is within half perception range. Once per turn.",,對攻擊者進行還擊，需熟練使用直射武器，且敵人處於半感知範圍內，每回合一次。,,,,,"Стреляйте в ответ по врагу, когда он атакует, если у бойца активно профильное огнестрельное оружие, а враг находится в пределах половины диапазона Восприятия. 1 раз за ход.",,
KEY_TECHNICIAN_REMOTE_DEPLOYMENT_DESCRIPTION,Text,Turrets can be thrown for 1 Action Point and 2 Will Points,,砲塔可以投擲，消耗 1 AP 和 2 WP,,,,,Турели можно бросать вдаль за 1 Очко Действий и 2 Очка Воли,,
KEY_ASSAULT_RIFLES_TALENT_DESCRIPTION,Text,Proficiency with Assault Rifles,,突擊步槍 熟練專精,,,,,Обучен применению автоматов в бою,,
KEY_GRENADES_TALENT_DESCRIPTION,Text,Proficiency with Grenades,,手榴彈 熟練專精,,,,,Обучен применению гранат в бою,,
KEY_HANDGUNS_TALENT_DESCRIPTION,Text,Proficiency with Handguns,,手槍 熟練專精,,,,,Обучен применению пистолетов в бою,,
KEY_HEAVY_WEAPONS_TALENT_DESCRIPTION,Text,Proficiency with Heavy Weapons,,重型武器 熟練專精,,,,,Обучен применению тяжелого вооружения в бою,,
KEY_MELEE_WEAPONS_TALENT_DESCRIPTION,Text,Proficiency with Melee Weapons,,近戰武器 熟練專精,,,,,Обучен применению оружия ближнего боя,,
KEY_MOUNTED_WEAPONS_TALENT_DESCRIPTION,Text,Proficiency with Mounted Weapons,,掛載武器 熟練專精,,,,,Обучен применению встроенного в бронекостюм оружия в бою,,
KEY_PDWS_TALENT_DESCRIPTION,Text,Proficiency with PDWs,,PDW 熟練專精,,,,,Обучен применению пистолетов-пулеметов в бою,,
KEY_SHOTGUNS_TALENT_DESCRIPTION,Text,Proficiency with Shotguns,,霰彈槍 熟練專精,,,,,Обучен применению дробовиков в бою,,
KEY_SILENCED_WEAPONS_TALENT_DESCRIPTION,Text,Proficiency with Silenced Weapons,,消音武器 熟練專精,,,,,Обучен применению оружия с глушителем в бою,,
KEY_SNIPERS_RIFLES_TALENT_DESCRIPTION,Text,Proficiency with Sniper Rifles,,狙擊槍 熟練專精,,,,,Обучен применению снайперских винтовок в бою,,
