Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_GEO_HINT_AUGMENTATION_SCREEN_DESCRIPTION,Text,,"You are about to augment your first soldier. A character can only have UP TO 2 BODY PARTS replaced this way.

Once an augmentation is installed, the soldier will not be able to revert back to their natural limbs. However, augmented body parts CAN BE SWAPPED with different cybernetic parts.

Augmented body parts are IMMUNE TO BLEEDING and RESISTANT TO VIRAL DAMAGE, POISON, AND PARALYSIS. Damaged cybernetics CAN BE REPAIRED after battle at the expense of Tech and Materials. 

In addition, each bionic augmentation reduces the maximum Delirium the character can have by 1/3, and removes up to that amount of Delirium from the character. 

Augmenting a character will reduce their Stamina to zero.","你即將增強你的第一個士兵。透過這種方式，一個角色最多只能取代 2 個身體部位。
 
 一旦安裝了增強裝置，士兵將無法恢復到自然肢體。然而，增強的身體部件可以與不同的控制論部件交換。
 
 增強的身體部位不會流血，並且能夠抵抗病毒損傷、中毒和麻痺。損壞的控制論可以在戰鬥結束後以犧牲技術和材料為代價進行修復。 
 
 此外，每次仿生增強都會使角色可以擁有的最大譫妄減少 1/3，並從角色中移除最多該數量的譫妄。 
 
 增強角色會將其耐力降至零。",,,,,"Вы собираетесь аугментировать своего первого бойца. Персонажу можно заменить таким образом не более 2-х частей тела.

После установки аугмента боец не сможет вернуть назад свои естественные конечности. Однако эти части тела можно будет заменить другими кибернетическими частями.

Аугментированные части тела невосприимчивы к кровотечениям и устойчивы к вирусным повреждениям, ядам и параличу. Поврежденные кибернетические части можно будет починить после боя за счет технологий и материалов.

Кроме того, каждая бионическая аугментация уменьшает максимальное количество Сонного Безумия, которое может быть у персонажа, на 1/3 и тут же удаляет с бойца это количество Сонного Безумия.

При аугментации бойца его выносливость тут же снижается до нуля.",,
KEY_GEO_HINT_ACHERON_CAPTURE_DESCRIPTION,Text,need to change,"Despite our best efforts the finding a cure to the new corruption strain ended in failure. Apparently, the virus in all newer specimens has mutated to such a degree that it is useless for our needs. In order to be successful, we need to find one of the original specimens that escaped from the Lab.",儘管我們盡了最大努力，但尋找解決新腐敗問題的方法仍以失敗告終。顯然，所有新樣本中的病毒都已突變到無法滿足我們的需求的程度。為了取得成功，我們需要找到從實驗室逃脫的原始樣本之一。,"Malgré tous nos efforts, la recherche d'un remède à la nouvelle souche de corruption s'est soldée par un échec. Apparemment, le virus dans tous les nouveaux spécimens a muté à un tel point qu'il est inutile pour nos besoins. Pour réussir, nous devons trouver l'un des spécimens originaux qui s'est échappé du laboratoire.",,,,"Несмотря на все наши усилия, поиск лекарства от нового штамма вируса закончился неудачей. По-видимому, вирус во всех новых Образцах мутировал до такой степени, что теперь в нем не разобраться. Чтобы добиться результата, нам нужно найти один из первоначальных Образцов, сбежавших из лаборатории.",,
KEY_GEO_HINT_ACHERON_CAPTURE_NAME,Text,need to change,CORRUPTION CURE RESEARCH FAILURE,腐敗治理研究失敗,ECHEC DE LA RECHERCHE D’UN REMEDE A LA CORRUPTION,,,,ПРОВАЛ ИССЛЕДОВАНИЯ ПО ЛЕЧЕНИЮ ЗАРАЖЕНИЯ,,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_DESCRIPTION,Text,,"In this Third Mist the Pandoravirus has mutated yet again. The new strain is slowly driving the survivors insane. 

WP are reduced by the amount of Delirium a character has. This effect is, in turn, reduced when the character is well rested: each 10 points in Stamina reduces the effect of Delirium by 1. The maximum amount of Delirium a character can acquire depends on the Oneiric Delirium Index. 

Delirium is gained by participating in missions where Mist is present (""Delirium Areas"") or suffering attacks from Pandorans with Delirium or Co-Delirium damage.

Different ways of dealing or living with Delirium will become avaliable with Phoenix and faction research.","在第三次迷霧中，潘朵拉病毒再次變異。新的病毒正在慢慢地讓倖存者發瘋。 
 
 WP 會根據角色擁有的譫妄程度而減少。當角色休息良好時，這種效果會依次減弱：耐力每增加 10 點，譫妄效果就會減少 1。 
 
 譫妄是透過參與存在迷霧的任務（「譫妄區域」）或遭受潘朵拉人的譫妄或共同譫妄傷害的攻擊來獲得的。
 
 鳳凰城和派系研究將提供不同的處理或生活譫妄的方式。","Dans cette troisième brume, le pandoravirus a encore muté. La nouvelle souche rend les survivants lentement fous.

Les Points de Volonté sont réduits par la quantité de Delirium qui affecte le personnage. Cet effet est à son tour réduit lorsque le personnage est bien reposé : chaque tranche de 10 points d'endurance réduit l'effet du délire de 1. La quantité maximale de délire qu'un personnage peut acquérir dépend de l'Indice de Délire Onirique.

Le délire s'acquiert en participant à des missions où la brume est présente (""zones de Délirium"") ou en subissant des attaques de Pandoriens avec des dégâts de Délirium ou de Co-Délirium.

Différentes façons de gérer ou de vivre avec le délire deviendront disponibles avec la recherche de Phoenix Point et des autres factions.",,,,"В третьем Тумане Пандоравирус снова мутировал. Новый штамм медленно сводит выживших с ума.

Сила Воли бойцов уменьшается в зависимости от очков поражения Сонным Безумием. Этот эффект можно отчасти компенсировать, если боец хорошо отдохнул: каждые 10 очков выносливости уменьшают очки Сонного Безумия на 1. Текущий максимум Сонного Безумия бойца определяется текущим ИСБ (Индекс Сонного Безумия), который может меняться в течение игры.

Сонным Безумием можно заразиться в миссиях, где присутствует Туман (""Зоны Сонного Безумия""), или подвергаясь атакам Пандоранов, имеющих свойство наносить урон Сонного Безумия, а также Переносчиков Сонного Безумия (Переносчики - свойство некоторых Пандоранов, в результате которого Пандораны, не обладающие свойством наносить урон Сонного Безумия все равно получают его).

С помощью исследований Проекта Феникс и фракций можно найти различные способы борьбы с Сонным Безумием или же способы сосуществовать с ним.",,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_NAME,Text,,ONEIRIC DELIRIUM VIRUS STRAIN,夢魘譫妄病毒株,SOUCHE VIRALE DU DÉLIRE ONIRIQUE,,,,ШТАММ ВИРУСА СОННОГО БЕЗУМИЯ,,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_OVER_DESCRIPTION,Text,NEED TO CHANGE,"After hours of research we have finally found a vaccine that will eliminate the corruption strain for good. As soldiers are being inoculated against the disease, our planes are spreading it over battlefields ensuring that the dead there pose no further threat.
 
Your soldiers can no longer become corrupted. Those that are currently corrupted still need treatment, though.","經過數小時的研究，我們終於找到了一種可以永遠消除腐敗的疫苗。當士兵們正在接受這種疾病的疫苗時，我們的飛機正在將其傳播到戰場上，以確保那裡的死者不會構成進一步的威脅。
  
 你的士兵不能再腐敗了。不過，目前已經腐敗的人仍然需要治療。","Après des heures de recherche, nous avons enfin trouvé un vaccin qui éliminera définitivement la souche de corruption. Tandis que les soldats sont inoculés contre la maladie, nos avions le répandent sur les champs de bataille en s'assurant que les morts ne constituent plus une menace.

Vos soldats ne peuvent plus être corrompus. Cependant, ceux qui sont actuellement corrompus ont encore besoin d'un traitement.",,,,"После многочасовых исследований мы, наконец, нашли вакцину, которая навсегда уничтожит штамм вируса. Пока бойцам делают прививки от этой болезни, наши самолеты распыляют ее над полями сражений, гарантируя, что мертвые больше не восстанут.

Ваши бойцы больше не подвержены заражению. Однако те, которые в настоящее время все еще заражены, нуждаются в лечении.",,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_OVER_NAME,Text,NEED TO CHANGE,CORRUPTION VACCINE,腐敗疫苗,VACCIN CONTRE LA CORRUPTION,,,,ВАКЦИНА ОТ СОННОГО БЕЗУМИЯ,,
KEY_GEO_HINT_ENEMY_SPECIAL_CURE_DESCRIPTION,Text,,"Now that you have researched a treatment for the Oneiric Delirium, you can remove this condition from your operatives, though they will acquire it again if they operate in an area covered by mist or are attacked by Pandorans with the Delirium attack. In addition, be aware that the treatment can cause SERIOUS and LONG LASTING side effects: every time you make use of it, there is a 25% chance that the operative will acquire one of the special Delirium perks, which grant a negative and a positive ability. The same operative can acquire any number of these special Delirium perks. They will lose these perks eventually as they complete missions, provided that they do not acquire new Delirium perks.
 
In order to treat a soldier you need to pay 50 MUTAGENS for every 25% of Delirium that has affected the soldier as compared to their Willpower.","現在你已經研究了夢魘譫妄的治療方法，你可以從你的特工身上消除這種情況，儘管如果他們在薄霧覆蓋的區域執行任務或受到潘多拉人的譫妄攻擊，他們會再次獲得這種情況。此外，請注意，該治療可能會導致嚴重且持久的副作用：每次使用它時，操作員都有 25% 的機會獲得一種特殊的譫妄津貼，該津貼會授予消極和積極的能力。同一個特工可以獲得任意數量的這些特殊的譫妄津貼。如果他們沒有獲得新的譫妄津貼，他們最終將在完成任務時失去這些津貼。
  
 為了治療一名士兵，你需要為影響士兵意志力的每 25% 的譫妄支付 50 誘變劑。","Maintenant que vous avez recherché un traitement pour le délire onirique, vous pouvez supprimer cette affection de vos agents, bien qu'ils la contractent à nouveau s'ils opèrent dans une zone couverte de brume ou s'ils sont attaqués par des Pandoriens avec l'attaque Délire. De plus, sachez que le traitement peut avoir des effets secondaires GRAVES et PERMANENTS : chaque fois que vous l'utilisez, il y a 25% de chances que l'agent acquière l'un des avantages spéciaux du délire, qui confèrent une capacité négative et une capacité positive. Le même agent peut acquérir n'importe quel nombre de ces effets spéciaux du délire. 

Pour traiter un soldat, vous devez utiliser 50 MUTAGENS pour chaque tranche de 25% de délire qui a affecté le soldat par rapport à sa volonté.",,,,"Теперь, когда вы изучили способ лечения Сонного Безумия, вы можете избавить своих бойцов от этой напасти, хотя... если они опять окажутся в Зоне Тумана, или если Пандораны нанесут им урон Сонного Безумия, то... все по новой. Кроме того, имейте в виду, что это лечение может вызвать серьезные и длительные побочные эффекты: каждый раз, когда вы применяете его, существует 25%-ная вероятность того, что боец получит один из побочных эффектов Сонного Безумия, который может оказаться как негативным, так и полезным. Один и тот же боец может получить любое количество этих побочек от Сонного Безумия. В конце концов, они постепенно будут исчезать по мере выполнения миссий, но если боец опять получит повреждение Сонного Безумия... все по новой.

Чтобы вылечить бойца, вам нужно потратить 50 Мутагенов за каждые 25% очков Сонного Безумия от максимума. Максимум же зависит от Силой Воли.",,
KEY_GEO_HINT_ENEMY_SPECIAL_CURE_NAME,Text,,ONEIRIC DELIRIUM EXPERIMENTAL TREATMENT,夢魘譫妄實驗治療,TRAITEMENT EXPERIMENTAL DU DELIRE ONIRIQUE,,,,ЭКСПЕРИМЕНТАЛЬНОЕ ЛЕЧЕНИЕ СОННОГО БЕЗУМИЯ,,
KEY_GEO_HINT_ENEMY_SPECIAL_MUTOID_DESCRIPTION,Text,,"Mutoids are artificially created by aggresively mutating suitable humans using MUTAGENS. Immune to the Delirium they can learn abilities from all researched Soldier Classes, as well as some Pandoran abilities after an autopsy has been performed.

While a Mutoid can learn many abilities, it can only select one Soldier ability and one Pandoran ability per level. For this additional Mutagens are required.

Mutoids can only be healed at a base using MUTAGENS.","Mutoids 是透過使用誘變劑對合適的人類進行積極突變而人為創造的。免疫譫妄的他們可以從所有研究的士兵類別中學習能力，以及在進行屍檢後學習一些潘多拉能力。
 
 雖然 Mutoid 可以學習多種能力，但每個等級只能選擇一種士兵能力和一種潘朵拉能力。為此需要額外的誘變劑。
 
 Mutoids 只能在基地使用 MUTAGENS 進行治療。","Les mutoïdes sont créés artificiellement par la mutation forcée d'humains compatibles à l'aide de MUTAGENS. Immunisés au Délire, ils peuvent apprendre les capacités de toutes les classes de soldats connues, ainsi que certaines capacités pandoriennes après une autopsie.

Bien qu'un Mutoïde puisse apprendre de nombreuses capacités, il ne peut choisir qu'une capacité de Soldat et une capacité de Pandorien par niveau. Pour cela, des mutagènes supplémentaires sont nécessaires.

Les mutoïdes ne peuvent être soignés que dans une base utilisant du MUTAGENS.",,,,"Мутоиды создаются искусственно путем агрессивной мутации подходящих людей с использованием Мутагенов. Невосприимчивые к Сонному Безумию, они могут изучать способности всех исследованных классов солдат, а также некоторые способности Пандоранов (после проведения вскрытия).

Хотя Мутоид может изучить множество способностей, он может выбрать только одну способность солдата и одну способность Пандорана на каждом уровне. Для этого придется потратить Мутагены.

Мутоидов можно лечить только на базах с помощью Мутагенов.",,
KEY_GEO_HINT_ENEMY_SPECIAL_MUTOID_NAME,Text,,MUTOID SOLDIERS,穆托德士兵,SOLDAT MUTOIDE,,,,Солдат-Мутоид,,
KEY_GEOSCAPE_CLEAN_LAIR_MISSION_OBJECTIVE_TITLE,Text,NEED TO CHANGE,Obtain Corruption Sample from Lair,從巢穴取得腐敗樣本,Obtenir un échantillon de corruption dans une Tanière,,,,Добыть зараженный Образец в Логове,,
KEY_TAC_HINT_STATUS_CORRUPTED_DESCRIPTION,Text,,"Your soldiers have gained one point of Delirium. At the start of the game, Delirium is capped at one third of the character's willpower. This cap will increase as the game progresses.

Delirium reduces Willpower by an equal amount. The lower a soldier's Willpower becomes, the more susceptible they are to panic or mind control, and the less they can use their skills. <b>Each 10 points in Stamina negate the effects of 1 point of Delirium</b>.

Delirium has other effects as well <b>that are not negated by higher Stamina</b>. ","你的士兵獲得了一點譫妄。遊戲開始時，譫妄的上限為角色意志力的三分之一。隨著遊戲的進行，這個上限將會增加。
 
 譫妄會同等程度地降低意志力。士兵的意志力越低，就越容易受到恐慌或精神控制，他們的技能就越難發揮。 <b>每 10 點耐力會抵銷 1 點譫妄的效果</b>。
 
 譫妄還有其他效果<b>不會被更高的耐力抵銷</b>。","Vos soldats ont gagné un point de Délire. Au début du jeu, le délire est plafonné à un tiers de la volonté du personnage. Ce plafond augmente au fur et à mesure que le jeu progresse.

Le délire réduit la Volonté d'un montant égal. Plus la Volonté d'un soldat est faible, plus il est sensible à la panique ou au contrôle mental, et moins il peut utiliser ses compétences. <b>Chaque tranche de 10 points d'Endurance annule les effets de 1 point de Délire</b>.

Le délire a également d'autres effets <b>qui ne sont pas annulés par une meilleure endurance</b>. ",,,,"Ваши бойцы получили 1 очко Сонного Безумия. В начале игры максимальный уровень Сонного Безумия равен одной трети Силы Воли персонажа. Этот предел будет расти по ходу игры.

Сонное Безумие уменьшает Силу Воли на количество своих очков. Чем слабее Сила Воли бойца, тем более он подвержен панике и контролю разума и тем меньше у него Очков Воли для применения своих навыков. Хорошие новости: <b>Каждые 10 очков выносливости компенсируют 1 очко Сонного Безумия</b>.

У Сонного Безумия есть и другие эффекты, которые никак не компенсируются высокой выносливостью.",,
KEY_TAC_HINT_STATUS_CORRUPTED_NAME,Text,,SUFFERS ONEIRIC DELIRIUM,患有夢魘譫妄,SUBIT UN DÉLIRE ONIRIQUE,,,,ЗАРАЖЕН СОННЫМ БЕЗУМИЕМ,,
KEY_GEO_HINT_AUGMENTATION_SCREEN_DESCRIPTION,Text,,"You are about to augment your first soldier. A character can only have UP TO 2 BODY PARTS replaced this way.

Once an augmentation is installed, the soldier will not be able to revert back to their natural limbs. However, augmented body parts CAN BE SWAPPED with different cybernetic parts.

Augmented body parts are IMMUNE TO BLEEDING and RESISTANT TO VIRAL DAMAGE, POISON, AND PARALYSIS. Damaged cybernetics CAN BE REPAIRED after battle at the expense of Tech and Materials. 

In addition, each bionic augmentation reduces the maximum Delirium the character can have by 1/3, and removes up to that amount of Delirium from the character. 

Augmenting a character will reduce their Stamina to zero.","你即將增強你的第一個士兵。透過這種方式，一個角色最多只能取代 2 個身體部位。
 
 一旦安裝了增強裝置，士兵將無法恢復到自然肢體。然而，增強的身體部件可以與不同的控制論部件交換。
 
 增強的身體部位不會流血，並且能夠抵抗病毒損傷、中毒和麻痺。損壞的控制論可以在戰鬥結束後以犧牲技術和材料為代價進行修復。 
 
 此外，每次仿生增強都會使角色可以擁有的最大譫妄減少 1/3，並從角色中移除最多該數量的譫妄。 
 
 增強角色會將其耐力降至零。",,,,,"Вы собираетесь аугментировать своего первого бойца. Персонажу можно заменить таким образом не более 2-х частей тела.

После установки аугмента боец не сможет вернуть назад свои естественные конечности. Однако эти части тела можно будет заменить другими кибернетическими частями.

Аугментированные части тела невосприимчивы к кровотечениям и устойчивы к вирусным повреждениям, ядам и параличу. Поврежденные кибернетические части можно будет починить после боя за счет технологий и материалов.

Кроме того, каждая бионическая аугментация уменьшает максимальное количество Сонного Безумия, которое может быть у персонажа, на 1/3, и тут же удаляет с бойца это количество Сонного Безумия.

При аугментации бойца его выносливость снижается до нуля.",,
KEY_GEO_HINT_AUGMENTATION_SCREEN_NAME,Text,,AUGMENTING A SOLDIER,增強士兵,,,,,АУГМЕНТАЦИЯ БОЙЦА,,
KEY_GEO_HINT_CYBERNETICS_LAB_BUILT_DESCRIPTION,Text,,"The construction of your Cybernetics Lab is complete. You will now be able to AUGMENT SOLDIERS, replacing their natural limbs with powerful cybernetics.

Each augmentation reduces the maximum Delirium a character may have by 1/3 and also immediately removes that much Delirium from the character.  

To Augment a soldier, navigate to the PERSONNEL tab, select EDIT UNIT and then select AUGMENT.","您的控制論實驗室的建造已經完成。您現在將能夠增強士兵，用強大的控制論取代他們的自然肢體。
 
 每次增強都會將角色可能擁有的最大譫妄減少 1/3，並立即從角色中移除那麼多的譫妄。 
 
 若要增強士兵，請導覽至“人員”選項卡，選擇“編輯單位”，然後選擇“增強”。",,,,,"Строительство вашей кибернетической лаборатории завершено. Теперь вы сможете аугментировать бойцов, заменяя их естественные конечности на мощные кибернетические.

Каждая аугментация уменьшает максимальное количество очков Сонного Безумия, которое может быть у бойца, на 1/3, а также немедленно вылечивает столько же текущих очков Сонного Безумия.

Чтобы аугментировать бойца, перейдите на вкладку ""Состав"" в главном меню Геоскопа, выберите иконку ""Характеристики и снаряжение"", а затем иконку ""Аугмент"".",,
KEY_GEO_HINT_CYBERNETICS_LAB_BUILT_NAME,Text,,AUGMENTATION NOW AVAILABLE,現已推出增強功能,,,,,ДОСТУПНЫ АУГМЕНТАЦИИ,,
KEY_GEO_HINT_MUTATION_LAB_BUILT_DESCRIPTION,Text,,"The construction of your Mutation Lab is complete. You will now be able to MUTATE SOLDIERS, replacing their natural limbs with ones enhanced by Pandoravirus mutation.

To Mutate a soldier, navigate to the PERSONNEL tab, select EDIT UNIT and then select MUTATE.

In addition, if you have completed the Mutagen harvesting technology, your mutation lab will automatically extract mutagens from any Pandorans held in your Containment facilities. ","您的突變實驗室的建造已經完成。你現在可以對士兵進行變異，用潘朵拉病毒突變增強的肢體替換他們的自然肢體。
 
 要變異士兵，請導航至“人員”選項卡，選擇“編輯單位”，然後選擇“變異”。
 
 此外，如果你已經完成了誘變劑收穫技術，你的突變實驗室將自動從收容設施中的任何潘朵拉人中提取誘變劑。",,,,,"Строительство вашей лаборатории мутаций завершено. Теперь вы сможете мутировать бойцов, заменяя их естественные конечности на конечности, улучшенные в результате мутаций Пандоравируса.

Чтобы мутировать бойца, перейдите на вкладку ""Состав"" в главном меню Геоскопа, выберите иконку ""Характеристики и снаряжение"", а затем иконку ""Мутировать"".

Кроме того, если вы освоите технологию сбора Мутагенов, ваша Лаборатория Мутаций автоматически будет извлекать Мутагены из любых Пандоранов, содержащихся в ваших Изоляторах.",,
KEY_GEO_HINT_MUTATION_LAB_BUILT_NAME,Text,,MUTATION NOW AVAILABLE,突變現已可用,,,,,ДОСТУПНЫ МУТАЦИИ,,
KEY_GEO_HINT_MUTATION_SCREEN_DESCRIPTION,Text,,"You are about to mutate your first soldier. A character can only have UP TO 2 BODY PARTS altered this way.

Each mutated body part increases damage dealt by character by 2% per each Delirium point that the character has.

Once a mutation is applied, the operative won't be able to revert back to their natural limbs. However, mutated body parts CAN BE SWAPPED with different mutation variants.

The :PRIEST: PRIEST soldier class has access to UNIQUE HEAD MUTATIONS greatly enhancing their powers.","你即將變異你的第一個士兵。一個角色最多只能用這種方式改變 2 個身體部位。
 
 角色每擁有一個譫妄點，每個變異的身體部位就會使角色造成的傷害提高 2%。
 
 一旦應用突變，操作員將無法恢復到其自然肢體。然而，突變的身體部位可以與不同的突變變異體交換。
 
 :PRIEST: 牧師士兵階級可以使用獨特的頭部突變來大大增強他們的力量。",,,,,"Вы собираетесь мутировать своего первого солдата. У персонажа может быть изменено не более 2 частей тела таким образом.

Каждая мутировавшая часть тела увеличивает наносимый персонажем урон на 2% за каждое имеющееся у него очко Сонного Безумия.

Как только мутация будет применена, боец не сможет вернуться к своим естественным конечностям. Однако, измененные части тела могут быть заменены другими вариантами мутаций.

Класс солдат-жрецов :PRIEST: имеет доступ к уникальным мутациям головы, значительно повышающим их способности.",,
KEY_GEO_HINT_MUTATION_SCREEN_NAME,Text,,MUTATING A SOLDIER,變異士兵,,,,,МУТИРОВАТЬ БОЙЦА,,
KEY_TUTORIAL_RESOURCES_DESCRIPTION,Text,,"On completing a mission, all gathered items and resources are added to your overall SUPPLIES. These can be accessed instantly anywhere on the GEOSCAPE, regardless of location.

Soldiers get fatigued during battle, LOSING 1 STAMINA POINT PER TURN (max 10 per battle).They also lose ALL STAMINA if one of their bodyparts is disabled during the mission.

If an operative starts a mission with 10 STAMINA OR LESS, they will only have 3 Action Points, instead of 4. If the operative has 0 STAMINA, they will only have 2 Action Points.

Your soldiers will slowly recover STAMINA in the aircraft if it has a FAR-M passenger module, and much faster at base, as long as it has a functioning Living Quarters. They can also recover HITPOINTS at the base if it has a functioning Medical Facility.

RETURN TO YOUR BASE SO YOUR SOLDIERS CAN RECOVER","完成任務後，所有收集的物品和資源都會添加到您的整體補給品中。無論位置如何，都可以在 GEOSCAPE 上的任何位置立即存取這些內容。
 
 士兵在戰鬥中感到疲勞，每回合損失 1 點耐力（每場戰鬥最多 10 點）。
 
 如果特工以 10 耐力或更少的耐力開始任務，他們將只有 3 個行動點，而不是 4 個。
 
 如果飛機有 FAR-M 乘客艙，你的士兵將在飛機上慢慢恢復耐力，只要飛機有正常運作的生活區，在基地恢復得更快。如果基地有正常運作的醫療設施，他們還可以恢復生命值。
 
 返回你的基地，以便你的士兵能夠康復",,,,,"По завершении миссии все собранные предметы и ресурсы добавляются на ваши склады. К ним можно получить мгновенный доступ в любой точке земного шара, независимо от местоположения.

Бойцы устают во время боя, теряя 1 очко выносливости в ход (максимум 10 за все сражение). Они также теряют ВСЮ ВЫНОСЛИВОСТЬ, если одна из частей их тела будет выбита во время миссии (0 хитов).

Если боец начинает миссию с запасом выносливости 10 или меньше, у него останется только 3 Очка Действий вместо 4-х. Если у бойца 0 очков выносливости, у него останется только 2 Очка Действий.

Ваши бойцы будут медленно восстанавливать силы в самолете, если у него есть модуль РШМ, и намного быстрее на базе, если на ней есть действующие ""Жилые Помещения"". Они также могут восстанавливать хиты на базе, если там есть действующий ""Медпункт"".

ВОЗВРАЩАЙТЕСЬ НА СВОЮ БАЗУ, ЧТОБЫ ВАШИ БОЙЦЫ МОГЛИ ОТЛЕЧИТЬСЯ И ВОССТАНОВИТЬ ВЫНОСЛИВОСТЬ!",,
KEY_DLC3_TUT_INFESTATION_DESCRIPTION,Text,,"Scum, villany, unbeatable prices!

The Marketplace offers:

-Cheap soldiers of fortune with mediocre equipment that <b>cannot receive mutations or bionics </b>. 
-Hand-crafted weapons, known as Kaos Guns, with good performance but small magazines and expensive ammo that can only be bought in the Bazaar.
-Junker, the post-Collapse ground vehicle of choice, and modules for it and other vehicles.
-Access to faction technologies.

The stock rotates approximately every 3 days and more options will become gradually available.   
You can access and make purchases in the Bazaar remotely, without a vehicle at the site.
","渣渣，惡棍，價格無敵！
 
 市集提供： - 廉價的財富士兵，裝備平庸，<b>無法接受突變或仿生學</b>。 
 -手工製作的武器，被稱為卡奧斯槍，性能良好，但彈匣較小，彈藥昂貴，只能在集市上購買。
 -Junker，崩潰後的首選地面車輛，以及它和其他車輛的模組。
 - 獲得派系技術。
 
 庫存大約每 3 天輪換一次，並且將逐漸提供更多選擇。 
 您可以遠端造訪市集並進行購買，無需現場車輛。",,,,,"Железо, бойцы, лучшие цены!

Рынок предлагает:

- Недорогие солдаты удачи с подходящим снаряжением.<b> Но они точно не захотят аугментироваться или мутировать</b>;
- Самодельное оружие бренда ""Kаос"": хорошие ТТХ, но небольшие магазины и дорогие боеприпасы, которые можно купить только у нас;
- ""НИ-1"", наш любимый постапокалиптический бронетрактор, названный в честь широко известного в узких кругах советского танка ""На Испуг"" эпохи Второй мировой войны, а также модули для него и других машин;
- Доступ к технологиям фракций.

Ассортимент обновляется примерно каждые 3 дня, и постепенно будет становиться разнообразнее.
Вы можете совершать покупки на Рынке удаленно, прилетать не обязательно, работает доставка!",,
KEY_DLC3_TUT_INFESTATION_NAME,Text,,BAZAAR - MARKETPLACE,市集 - 市場,,,,,Рынок - Супермаркет,,
KEY_HINT_BEHEMOTH_MISSION_TITLE,Text,,Attack the Behemoth,攻擊巨獸,,,,,Атаковать Бегемота,,
KEY_HINT_BEHEMOTH_MISSION_DESCRIPTION,Text,,"You can now land a squad on the Behemoth to destroy it once and for all! Load a team on the Masked Manticore and click on this icon when the Behemoth emerges to trigger the mission.
",現在，您可以派遣小隊登陸巨獸，一勞永逸地摧毀它！在蒙面蠍獅上裝載一支隊伍，並在巨獸出現時點擊此圖示觸發任務。,,,,,"Теперь вы можете высадить отряд прямо на Бегемота, чтобы уничтожить его раз и навсегда! Когда Бегемот появится, загрузите отряд в Замаскированную Мантикору и нажмите сюда, чтобы начать миссию.",,
KEY_HINT_BEHEMOTH_DEPLOY_TITLE,Text,,Deploying on the Behemoth,在 Behemoth 上部署,,,,,Высадка на Бегемота,,
KEY_HINT_BEHEMOTH_DEPLOY_DESCRIPTION,Text,,"Your squad will have to separate into 2 teams to complete the objective. Because of the high winds it will be very difficult, if not impossible for the 2 teams to rendezvous, so you should assume that each will have to act fully independently. Assign your operatives to A and B teams accordingly.",你的小隊必須分成兩隊才能完成目標。由於大風，兩隊的會合即使不是不可能，也會非常困難，所以你應該假設每一支隊伍都必須完全獨立行動。將您的操作員相應地分配到 A 組和 B 組。,,,,,"Для выполнения миссии вашему отряду придется разделиться на 2 группы. Из-за шторма встретиться двум командам будет очень сложно, если не невозможно, поэтому вам следует исходить из того, что каждой из них придется действовать полностью независимо. Распределите своих бойцов в группы А и В соответственно.",,
KEY_HINT_BASE_MISSION_TITLE,Text,,Base defense deployment,基地防禦部署,,,,,Организация защиты базы,,
KEY_HINT_BASE_MISSION_DESCRIPTION,Text,,"You have some options when deploying for the base defense, depending on the stage of the attack and whether you have an operational Access Lift.

During the initial state (more than 12 hours left on the timer) you can deploy at the Hangar or at a choke point in the Entrance to the base.

If the Pandorans have already penetrated the first line of defense (less than 12 hours left on the timer), you will have to deploy at the Entrance to the base.  

If the base has an operational Access Lift you can also deploy your operatives there.","在部署基地防禦時，您有一些選擇，具體取決於攻擊的階段以及您是否擁有可操作的通道電梯。
 
 在初始狀態期間（計時器還剩 12 小時以上），您可以在機庫或基地入口處的阻塞點進行部署。
 
 如果潘朵拉人已經突破了第一道防線（計時器還剩不到 12 小時），您將必須在基地入口處部署。 
 
 如果基地有可用的通道電梯，您也可以在那裡部署您的特工。",,,,,"При подготовке к защите базы у вас есть несколько вариантов, в зависимости от стадии атаки и наличия у вас лифта доступа.

В начале (по таймеру осталось более 12 часов) вы можете высадить бойцов в ангаре или в узком месте на входе на базу.

Если Пандораны уже прорвали первую линию обороны (по таймеру осталось менее 12 часов), вам придется высадиться у входа на базу.

Если на базе есть лифт доступа, вы также можете разместить своих бойцов в нем.",,
