"Key","Type","English","Desc","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"PR_BC_ENDURANCE_DESC","Text","Recover restores additional 25% Willpower and removes Acid, Poison and Bleeding effects.","","恢复时额外恢复25%意志力，并移除酸性、中毒和流血效果。","Récupération restaure 25 % supplémentaires de Volonté et supprime les effets Acide, Poison et Saignement.","Die Fähigkeit „Erholen“ stellt zusätzlich 25 Willenskraft wieder her und entfernt Säure-, Gift- und Blutungseffekte.","","","""Восстановление"" дает на 25% больше Очков Воли, а также снимает эффекты кислоты, отравления и кровотечения","",""
"PR_BC_SABOTEUR","Text","SABOTEUR","","破坏者","SABOTEUR","SABOTEUR","","","ОПЫТНЫЙ РАЗВЕДЧИК","",""
"PR_BC_SABOTEUR_DESC","Text","When you are hidden AP cost of non-weapon skills and spider drone skills decreased by 1 AP","","当你处于隐蔽状态时，非武器技能和蜘蛛无人机技能的行动力消耗减少1点","Lorsque vous êtes CACHÉ, le coût en PA des compétences non liées aux armes et du drone araignée sont réduit de 1.","Solange du verborgen bist, werden die Aktionspunktkosten von Nicht-Waffen-Fähigkeiten und Spinnendrohnen-Fähigkeiten um 1 AP reduziert.","","","Пока вы скрыты, стоимость не оружейных навыков и применения дронов-пауков уменьшена на 1 Очко Действий","",""
"PR_BC_DIE_HARD","Text","DIE HARD","","坚韧不拔","TENACE","ZÄH WIE LEDER","","","КРЕПКИЙ ОРЕШЕК","",""
"PR_BC_DIE_HARD_DESC","Text","When you take lethal damage there is a chance to survive with 1HP and have all negative effects cleared. Can only trigger once per mission.","","当你受到致命伤害时，有机会以1点生命值存活，并清除所有负面效果。每个任务只能触发一次。","Lorsque vous subissez des dégâts mortels, il y a une chance de survivre avec 1 PV et de dissiper tous les effets négatifs. Ne peut se déclencher qu’une seule fois par mission.","Bei tödlichem Schaden besteht eine Chance, mit 1 Trefferpunkt zu überleben und alle negativen Effekte zu entfernen. Kann nur einmal pro Mission ausgelöst werden.","","","В момент смерти получить шанс выжить в 1 хите (все негативные эффекты снимутся).
1 раз за миссию","",""
"PR_BC_DIE_HARD_TRIGGERED","Text","DIE HARD","","坚韧不拔","TENACE","ZÄH WIE LEDER","","","КРЕПКИЙ ОРЕШЕК: ПРОНЕСЛО!","",""
"PR_BC_DIE_HARD_TRIGGERED_DESC","Text","Die Hard has saved your life once already, so there is no more chance for this mission!","","坚韧不拔已救过你一次，本任务中不再有触发机会！","TENACE vous a déjà sauvé la vie une fois, il n’y a donc plus de seconde chance pour cette mission !","Zäh wie Leder hat dein Leben bereits einmal gerettet – für diese Mission besteht keine weitere Chance mehr!","","","Вас уже пронесло один раз в этой миссии. Второй раз чуда не ждите...","",""
"PR_BC_DIE_HARD_KEEPALIVE","Text","DIE HARDER","","更坚韧","TENACITÉ","NOCH ZÄHER","","","КРЕПКИЙ ОРЕШЕК: ЧУДО!","",""
"PR_BC_DIE_HARD_KEEPALIVE_DESC","Text","You took lethal damage this turn and Die Hard saved your life. You are invulnerable until the end of this turn.","","你本回合受到致命伤害，坚韧意志救了你的命。直到本回合结束，你处于无敌状态。","Vous avez subi des dégâts mortels ce tour et TENACE vous a sauvé la vie. Vous êtes invincible jusqu’à la fin de ce tour.","Du hast in diesem Zug tödlichen Schaden erlitten und „Zäh wie Leder“ hat dich gerettet. Du bist bis zum Ende dieses Zuges unverwundbar.","","","Вы не погибли только чудом! До конца хода вы - полностью неуязвимый Крепчайший из Орешков, муахахахаха!","",""
"PR_BC_BATTLEHARDENED","Text","BATTLE HARDENED","","战斗老兵","VÉTÉRAN","KAMPFERPROBT","","","ВЕТЕРАН","",""
"PR_BC_BATTLEHARDENED_DESC","Text","Gain +2 to all primary stats, +10% to accuracy and +4 to perception","","所有主要属性+2，命中率+10%，感知+4","Gagnez +2 à toutes les caractéristiques principales, +10% de précision et +4 en perception.","Erhält +2 auf alle Primärattribute, +10% Genauigkeit und +4 Wahrnehmung.","","","Бонус +2 к основным характеристикам, а также +10% Точности и +4 Восприятия","",""
"PR_BC_TAKEDOWN","Text","TAKEDOWN","","击倒","LYNCHER","ÜBERWÄLTIGEN","","","ПРИМЕНИТЬ КУНГ-ФУ","",""
"PR_BC_TAKEDOWN_DESC","Text","Deal 80 damage and 210 shock damage to an adjacent target. Replaces Bash.","","对相邻目标造成80点伤害和210点震击伤害。替代猛击。","Inflige 80 points de dégâts et 210 points de dégâts électriques à une cible adjacente. Remplace Cogner.","Verursacht 80 Schaden und 210 Schockschaden an einem benachbarten Ziel. Ersetzt „Hämmern“.","","","Рукопашная атака, наносящая 80 урона и 210 оглушения. Заменяет обычный ""Удар""","",""
"PR_BC_PUNISHER","Text","PUNISHER","","惩戒者","BOUCHER","BESTRAFUNG","","","МОНСТР","",""
"PR_BC_PUNISHER_DESC","Text","When you kill an enemy, his allies lose 2 additional Will Points","","当你击杀敌人时，其盟友额外失去2点意志力","Lorsque vous tuez un ennemi, ses alliés perdent 2 points de Volonté supplémentaires.","Tötest du einen Gegner, verlieren dessen Verbündete zusätzlich 2 Willenspunkte.","","","<b>Когда вы убиваете врага, остальные враги теряют 2 Очка Воли.</b>
<i>Кем надо быть, чтобы при виде вас монстры начинали плакать и проситься к маме на ручки?</i>","",""
"PR_BC_PEPPER_CLOUD","Text","PEPPER CLOUD","","胡椒云","NUAGE DE POIVRE","PFEFFERWOLKE","","","ГАЗОВАЯ АТАКА","",""
"PR_BC_PEPPER_CLOUD_DESC","Text","Enemies in 8 tile radius suffer -50% accuracy","","8格半径内的敌人命中率降低50%","-50% de précision aux ennemis dans un rayon de 8 cases.","Feinde im Umkreis von 8 Feldern erleiden -50% Genauigkeit.","","","Враги в пределах 8 клеток получают -50% точности","",""
"PR_BC_AR_TARGETTING","Text","AR TARGETING","","自动步枪瞄准","CIBLAGE ASSISTÉ","AR-ZIELERFASSUNG","","","КОРРЕКТИРОВКА ОГНЯ","",""
"PR_BC_AR_TARGETTING_DESC","Text","Target ally within 10 tiles gains +30% accuracy","","目标范围内10格内的友军获得+30%精准度","Un allié ciblé dans un rayon de 10 cases gagne +30% de précision.","Verbündete innerhalb von 10 Feldern erhalten +30% Treffsicherheit.","","","Выбранный союзник в радиусе 10 клеток получает +30% точности","",""
"PR_BC_PHANTOM_PROTOCOL","Text","PHANTOM PROTOCOL","","幽影协议","PROTOCOLE FANTÔME","PHANTOMPROTOKOLL","","","ПРОТОКОЛ ""ФАНТОМ""","",""
"PR_BC_PHANTOM_PROTOCOL_DESC","Text","Gain +15% stealth and accuracy, provides immunity to Sentinels surveillance ability","","获得+15%潜行和精准度，免疫哨兵的侦查能力","Gagnez +15% en furtivité et en précision, et devenez immunisé contre la capacité de surveillance des Sentinelles.","Gewährt +15% Tarnung und Genauigkeit und verleiht Immunität gegen die Überwachungsfähigkeit von Wächtern (Sentinels).","","","Получить +15% к точности и скрытности. Стражи вас не замечают, вообще","",""
"PR_BC_SOWER_OF_CHANGE","Text","SOWER OF CHANGE","","变革播种者","CONTAGIEUX","VIRUSVERGELTER","","","ВИРУСОЛОГ","",""
"PR_BC_SOWER_OF_CHANGE_DESC","Text","Returns 25% of damage as Viral to the attacker","","将25%的伤害以病毒伤害反弹给攻击者","25% des dégâts subis sont renvoyés à l’attaquant sous forme de dégâts Viraux.","25% des erlittenen Schadens werden als Virusschaden an den Angreifer zurückgegeben.","","","Возвращает атакующему 25% урона в виде направленной вирусной инфекции","",""
"PR_BC_SURVIVOR","Text","SURVIVOR","","幸存者","SURVIVANT","ÜBERLEBENDER","","","ПОКАЛЕЧЕННЫЙ","",""
"PR_BC_SURVIVOR_DESC","Text","<b>WP +4, but -2 STR</b> <i>You have had it tougher than most, and that's saying a lot. Your body took a toll, but your mind grew stronger</i>","","<b>意志力 +4，但力量 -2</b> <i>你经历的比大多数人都要艰难，这已经说明了很多。你的身体受到了损耗，但你的心智变得更强大</i>","<b>Volonté +4, mais Puissance -2</b> <i>Vous avez vécu plus durement que la plupart, et ce n’est pas peu dire. Votre corps en a payé le prix, mais votre esprit s’en est renforcé.</i>","<b>Willenskraft +4, aber -2 Stärke</b>
<i>Du hattest es härter als die meisten – und das will etwas heißen. Dein Körper hat gelitten, doch dein Geist ist stärker geworden.</i>","","","<b>Воля +4, Сила -2</b>
<i>Вам досталось больше других и это о многом говорит. Но все, что не убивает нас, делает сильнее... или калекой.</i>","",""
"PR_BC_NURSE","Text","NURSE","","护士","INFIRMIER","SANITÄTER","","","САНИТАР","",""
"PR_BC_NURSE_DESC","Text","<b>WP +2. Healing +30%</b> <i>Yes, there is a gentler side to you. But people have to get hurt to experience it</i>","","<b>意志力 +2，治疗效果 +30%</b> <i>是的，你有温柔的一面。但人们必须受伤才能体会到它</i>","<b>Volonté +2, Soins +30%</b> <i>Oui, vous avez un côté plus doux. Mais les gens doivent souffrir pour en profiter.</i>","<b>Willenskraft +2, Heilung +30%</b>
<i>Ja, du hast auch eine sanfte Seite. Aber Menschen müssen verletzt werden, um sie zu erleben.</i>","","","<b>Воля +2, Лечение +30%</b>
<i>Да, в вас есть и мягкая сторона. Но увидит это только тот, кто также познал боль.</i>","",""
"PR_BC_SCAV","Text","SCAV","","拾荒者","OEIL DE LYNX","PLÜNDERER","","","СЛЕДОПЫТ","",""
"PR_BC_SCAV_DESC","Text","<b>WP +2, Perception +4</b> <i>The Old World left behind all sorts of interesting things. It takes patience and a keen eye to find them</i>","","<b>意志力 +2，感知 +4</b> <i>旧世界留下了各种有趣的东西。需要耐心和敏锐的眼光才能找到它们</i>","<b>Volonté +2, Perception +4</b> <i>Le Vieux Monde a laissé derrière lui toutes sortes de choses intéressantes. Il faut de la patience et un œil aiguisé pour les découvrir.</i>","<b>Willenskraft +2, Wahrnehmung +4</b>
<i>Die Alte Welt hat allerlei interessante Dinge zurückgelassen. Man braucht Geduld und ein scharfes Auge, um sie zu finden.</i>","","","<b>Воля +2, Восприятие +4</b>
<i>Старый Мир оставил после себя множество интересных вещей, чтобы разыскать их нужно терпение и зоркий глаз.</i>","",""
"PR_BC_CORPSE_DISPOSER","Text","CORPSE DISPOSER","","尸体处理者","INCINÉRATEUR","LEICHENENTSORGER","","","БЫВШИЙ ПОЖАРНЫЙ","",""
"PR_BC_CORPSE_DISPOSER_DESC","Text","<b>Fire Resistance</b> <i>There were too many to bury, so you had to burn them. Day after day, week after week. It's not the fire that scares you</i>","","<b>火焰抗性</b> <i>尸体太多无法掩埋，只能焚烧。日复一日，周复一周。可怕的不是火焰本身</i>","<b>Résistance au Feu</b> <i>Ils étaient trop nombreux pour être enterrés, alors vous avez dû les brûler. Jour après jour, semaine après semaine. Ce n’est pas le feu qui vous effraie.</i>","<b>Feuerresistenz</b>
<i>Es waren zu viele zum Begraben, also musstest du sie verbrennen. Tag für Tag, Woche für Woche. Nicht das Feuer macht dir Angst.</i>","","","<b>Защита от огня.</b>
<i>Тел было слишком много для обычных похорон, так что пришлось их сжечь. День за днем, неделя за неделей... Вовсе не огонь страшит вас.</i>","",""
"PR_BC_HARD_LABOR","Text","HARD LABOR","","苦力","DUR LABEUR","KNOCHENARBEIT","","","БЫВШИЙ ШАХТЕР","",""
"PR_BC_HARD_LABOR_DESC","Text","<b>STR +4, Perception -4</b> <i>The New World didn't just build itself. There was lot of digging, lifting and carrying, and dust and noise everywhere</i>","","<b>力量 +4，感知 -4</b> <i>新世界不是自己建成的。挖掘、搬运、尘土飞扬，噪音四起</i>","<b>Puissance +4, Perception -4</b> <i>Le Nouveau Monde ne s’est pas construit tout seul. Il y a eu beaucoup de travail, avec de la poussière et du bruit partout.</i>","<b>Stärke +4, Wahrnehmung -4</b>
<i>Die Neue Welt hat sich nicht von selbst aufgebaut. Es wurde gegraben, gehoben und geschleppt – Staub und Lärm überall.</i>","","","<b>Сила +4, Восприятие -4</b>
<i>Новый Мир не возник сам по себе. Пришлось много копать, поднимать и таскать, с шумом и пылью.</i>","",""
"PR_BC_SQUATTER","Text","SQUATTER","","占据者","SQUATTEUR","HAUSBESETZER","","","СИЛАЧ","",""
"PR_BC_SQUATTER_DESC","Text","<b>STR +2, Carry Weight +25%</b> <i>In the camps you carried everything on your person at all times. And sometimes you had to take things from other people</i>","","<b>力量 +2，携带重量 +25%</b> <i>在营地里你随时携带所有物品。有时还得从别人那里拿东西</i>","<b>Puissance +2, Capacité de transport +25%</b> <i>Dans les camps, vous portiez tout sur vous en permanence. Et parfois, il fallait prendre des affaires aux autres.</i>","<b>Stärke +2, Traglast +25%</b>
<i>In den Lagern hast du immer alles bei dir getragen. Und manchmal musstest du Dinge von anderen nehmen.</i>","","","<b>Сила +2, Грузоподъемность +25%</b>
<i>В лагерях весь свой скарб приходилось держать при себе. И иногда отбирать вещи у других.</i>","",""
"PR_BC_VOLUNTEERED","Text","VOLUNTEERED","","志愿者","COBAYE","FREIWILLIG GEMELDET","","","ПОДОПЫТНЫЙ","",""
"PR_BC_VOLUNTEERED_DESC","Text","<b>Nightvision, +2 SPD, -2WP</b> <i>They gave you cat eyes and reflex enhancers, and nothing for the headaches that came after</i>","","<b>夜视，速度 +2，意志力 -2</b> <i>他们给你猫眼和反射增强器，却没给你头痛的缓解</i>","<b>Vision nocturne, Vitesse +2, Volonté -2</b> <i>Ils vous ont donné des yeux de chat et des amplificateurs de réflexes, mais rien pour les maux de tête qui ont suivi.</i>","<b>Nachtsicht, Geschwindigkeit +2, Willenskraft -2</b>
<i>Sie gaben dir Katzenaugen und Reflexverstärker – aber nichts gegen die Kopfschmerzen danach.</i>","","","<b>Ночное зрение. Скор. +2, Воля -2</b>
<i>Они дали тебе глаза и рефлексы кошки, и совершенно бесплатно - непроходящие головные боли.</i>","",""
"PR_BC_CONDO_RAIDER","Text","CONDO RAIDER","","公寓突袭者","GRIMPEUR","WOHNUNGSPLÜNDERER","","","АКРОБАТ","",""
"PR_BC_CONDO_RAIDER_DESC","Text","<b>Jump up or down one building level</b> <i>The world is full of broken elevators and collapsed staircases, and the pros in this business don't use ladders</i>","","<b>跳上或跳下一个建筑层级</b> <i>这个世界充满了坏掉的电梯和坍塌的楼梯，行家可不爬梯子</i>","<b>Sautez d’un niveau de bâtiment</b> <i>Les ascenseurs et escaliers sont souvent hors service, les pros passent par-dessus.</i>","<b>Ermöglicht das Springen eine Gebäudestufe nach oben oder unten</b>
<i>Die Welt ist voller kaputter Aufzüge und eingestürzter Treppen. Profis benutzen keine Leitern.</i>","","","<b>Может прыгать на 1 уровень вверх\вниз не используя лестницы.</b>
<i>Мир полон сломанных лифтов и обвалившихся пролетов. Но профи в нашем деле не пользуются лестницами.</i>","",""
"PR_BC_TUNNEL_RAT","Text","TUNNEL RAT","","地道鼠","RAT D'ÉGOUT","KANALRATTE","","","ТУННЕЛЬНАЯ КРЫСА","",""
"PR_BC_TUNNEL_RAT_DESC","Text","<b>Stealth +15%, SPD +1</b> <i>You spent a good spell in the sewers. You had to be quiet, real quiet... And then run like hell!</i>","","<b>潜行 +15%，速度 +1</b> <i>你在下水道里待过很长时间。你得保持安静，极其安静……然后拼命逃跑！</i>","<b>Furtivité +15%, Vitesse +1</b> <i>Vous avez passé pas mal de temps dans les égouts. Il fallait être discret, très discret... puis courir comme un fou !</i>","<b>Tarnung +15%, Geschwindigkeit +1</b>
<i>Du hast lange Zeit in der Kanalisation verbracht. Leise sein, ganz leise... und dann rennen wie die Hölle!</i>","","","<b>Скрытность +15%, Скорость +1</b>
<i>Вы много времени провели в канализации. Приходилось быть тихим, очень тихим... а затем бежать сломя голову.</i>","",""
"PR_BC_HUNTER","Text","HUNTER","","猎手","CHASSEUR","JÄGER","","","ОХОТНИК","",""
"PR_BC_HUNTER_DESC","Text","<b>Accuracy +10%</b> <i>There used to be game and hunger around these parts</i>","","<b>精准 +10%</b> <i>这里曾经有猎物和饥饿</i>","<b>Précision +10%</b> <i>Autrefois, ces terres regorgeaient de gibier... à chasser.</i>","<b>Genauigkeit +10%</b>
<i>Die Wildnis hat sich verändert – die Jagd bleibt.</i>","","","<b>Точность +10%</b>
<i>Когда-то в этих краях не люди были добычей.</i>","",""
"PR_BC_TROUBLEMAKER","Text","TROUBLEMAKER","","麻烦制造者","AGITATEUR","UNRUHESTIFTER","","","ГРЕНАДЕР","",""
"PR_BC_TROUBLEMAKER_DESC","Text","<b>Hand grenades deal +10% damage</b> <i>You have a knack for irritating the authorities. Maybe that's why you are here? Think about it</i>","","<b>手榴弹伤害 +10%</b> <i>你总能惹恼当局。也许这就是你来到这里的原因？好好想想</i>","<b>Les grenades à main infligent +10% de dégâts</b> <i>Vous avez un talent pour agacer les autorités. Peut-être est-ce pour ça que vous êtes ici ? Réfléchissez-y.</i>","<b>Handgranaten verursachen +10% Schaden</b>
<i>Du hast ein Talent dafür, Autoritäten zu reizen. Vielleicht bist du deshalb hier? Denk mal drüber nach.</i>","","","<b>Ручные гранаты наносят +10% урона.</b>
<i>У вас талант раздражать власти. Может поэтому вы оказались здесь? Подумайте об этом.</i>","",""
"PR_BC_PARANOID","Text","PARANOID","","偏执狂","PARANO","PARANOID","","","ПОДОЗРИТЕЛЬНЫЙ","",""
"PR_BC_PARANOID_DESC","Text","<b>Perception +4, Hearing Range +10</b> <i>But you are not, because the monsters are real!</i>","","<b>感知 +4，听觉范围 +10</b> <i>但你并非偏执，因为怪物是真实存在的！</i>","<b>Perception +4, Portée auditive +10</b> <i>Mais vous ne l’êtes pas, car les monstres sont bien réels !</i>","<b>Wahrnehmung +4, Hörreichweite +10</b>
<i>Aber du bist es nicht – denn die Monster sind real!</i>","","","<b>Восприятие +4, слух +10</b>
<i>Опять показалось... Но это не значит, что монстров не существует</i>","",""
"PR_BC_TRUE_GRIT","Text","TRUE GRIT","","坚韧不拔","PEAU DURE","HART IM NEHMEN","","","ЗАКАЛЕННЫЙ В БОЯХ","",""
"PR_BC_TRUE_GRIT_DESC","Text","<b>-10% damage from adjacent enemies</b> <i>The end of civilization wasn't kind to you, but when things get up close and personal, you just suck it up</i>","","<b>来自邻近敌人的伤害减少10%</b> <i>文明的终结对你并不友好，但当事情变得近身时，你只能咬牙坚持</i>","<b>-10% de dégâts provenant des ennemis adjacents</b> <i>La fin de la civilisation ne vous a pas épargné, mais quand ça devient personnel, vous encaissez.</i>","<b>-10% Schaden angrenzender Gegner</b>
<i>Das Ende der Zivilisation war nicht gnädig. Aber wenn es hart auf hart kommt, hältst du einfach durch.</i>","","","<b>-10% урона в рукопашной от окруживших врагов.</b>
<i>Крах цивилизаций всегда не к добру, но когда дела приобретают скверный оборот, вы к этому готовы.</i>","",""
"PR_BC_HISTORY_OF_VIOLENCE","Text","HISTORY OF VIOLENCE","","暴力史","PASSÉ VIOLENT","GEWALTBEREIT","","","ТЕМНОЕ ПРОШЛОЕ","",""
"PR_BC_HISTORY_OF_VIOLENCE_DESC","Text","<b>Damage +10%, Willpower -2</b> <i>In the past, you hurt some people. They probably deserved it</i>","","<b>伤害+10%，意志力-2</b> <i>过去，你伤害过一些人。他们大概活该</i>","<b>Dégâts +10%, Volonté -2</b> <i>Par le passé, vous avez fait du mal à certaines personnes. Elles l’avaient probablement bien mérité.</i>","<b>Schaden +10%, Willenskraft -2</b>
<i>Früher hast du einigen Menschen zugesetzt. Wahrscheinlich hatten sie es verdient.</i>","","","<b>Урон +10%, Воля -2</b>
<i>В прошлой жизни вам приходилось много убивать. Они это заслужили, наверное...</i>","",""
"PR_BC_DAREDEVIL","Text","DAREDEVIL","","冒险家","TÊTE BRÛLÉE","DRAUFGÄNGER","","","ТЯЖЕЛОЕ ДЕТСТВО","",""
"PR_BC_DAREDEVIL_DESC","Text","<b>Damage +10%, Accuracy -10%</b> <i>In the world you were born to, you have to live dangerously if at all. Strike first, strike hard, aim not</i>","","<b>伤害+10%，精准-10%</b> <i>在你出生的世界里，如果活着就得冒险。先发制人，猛力出击，不用瞄准</i>","<b>Dégâts +10%, Précision -10%</b> <i>Dans le monde où vous êtes né, il faut vivre dangereusement, si tant est qu’on vive. Frappez vite, frappez fort, ne visez pas.</i>","<b>Schaden +10%, Genauigkeit -10%</b>
<i>In der Welt, in die du hineingeboren wurdest, muss man gefährlich leben – wenn überhaupt. Erst zuschlagen, hart zuschlagen, nicht zielen.</i>","","","<b>Урон +10%, точность -10%</b>
<i>В мире, где вы родились, приходилось всегда ходить по краю. Бей первым, бей сильно, не думай!</i>","",""
"PR_BC_DAMAGED_AMYGDALA","Text","DAMAGED AMYGDALA","","杏仁核受损","AMYGDALE ENDOMMAGÉE","GESCHÄDIGTE AMYGDALA","","","БЕССТРАШНЫЙ","",""
"PR_BC_DAMAGED_AMYGDALA_DESC","Text","<b>Gain 'Psychic Scream Immunity'</b> <i>All brains are different, and yours couldn't take seeing your family return as sea monsters</i>","","<b>获得“精神尖叫免疫”</b> <i>每个人的大脑都不同，而你的大脑无法承受看到家人变成海怪的景象</i>","<b>Immunité : Cri Psychique</b> <i>Tous les esprits sont différents, et le vôtre n’aurait pas supporté de voir votre famille revenir sous forme de monstres marins.</i>","<b>Immun gegen Psychischen Schrei</b>
<i>Jedes Gehirn ist anders. Deines konnte es nicht verkraften, deine Familie als Meeresmonster wiederzusehen.</i>","","","<b>Иммунитет к психическому воплю.</b>
<i>Все мозги устроены по разному, и ваши эмоции просто исчезли при виде родных, вернувшихся с того света в виде морских монстров.</i>","",""
"PR_BC_SANITATION_EXPERT","Text","SANITATION EXPERT","","卫生专家","AGENT D’ENTRETIEN","GOO-SPEZI","","","ЧИСТИЛЬЩИК","",""
"PR_BC_SANITATION_EXPERT_DESC","Text","<b>Immune to goo</b> <i>Robots can't do everything. Grime, dirt, slime, ooze, yuck, sludge: you have been through it all and come out on the other sideг</i>","","<b>免疫黏液</b> <i>机器人不能做所有事。污垢、泥浆、黏液、粘稠物、恶心、淤泥：你经历过这一切并挺了过来</i>","<b>Immunité : Gelée</b> <i>Les robots ne peuvent pas tout faire. Saleté, boue, mucus, slime, beurk, bouillasse : vous avez tout traversé et en êtes ressorti indemne.</i>","<b>Immun gegen Schleim (Goo)</b>
<i>Roboter können nicht alles erledigen. Schmutz, Dreck, Siff, Glibber, Matsch – du hast alles durchgemacht und überlebt.</i>","","","<b>Иммунитет к слизи.</b>
<i>Роботы не могут делать всю работу. Грязь, слизь, плесень, подозрительные пятна: вы на этом собаку съели и не одну!</i>","",""
"PR_BC_LAB_ASSISTANT","Text","LAB ASSISTANT","","实验室助理","TECHNICIEN DE LABO","LABORASSISTENT","","","УЧЕНЫЙ","",""
"PR_BC_LAB_ASSISTANT_DESC","Text","<b>Acid Resistance</b> <i>All those little accidents throughout the years have taught you a lot about safely dealing with acid spills</i>","","<b>抗酸能力</b> <i>多年来的无数小意外教会了你如何安全处理酸液泄漏</i>","<b>Résistance à l’acide</b> <i>Toutes ces petites mésaventures au fil des années vous ont beaucoup appris sur la façon de gérer en toute sécurité les éclaboussures d’acide.</i>","<b>Säureresistenz</b>
<i>All die kleinen Unfälle im Laufe der Jahre haben dich gelehrt, sicher mit Säure umzugehen.</i>","","","<b>Защита от кислоты.</b>
<i>Годы в лаборатории многому научили вас о мерах предосторожности при работе с кислотой.</i>","",""
"PR_BC_ROCKETEER","Text","ROCKETEER","","火箭兵","PILOTE","HIMMELSSTÜRMER","","","ЛЮБИТЕЛЬ АВИАЦИИ","",""
"PR_BC_ROCKETEER_DESC","Text","<b>Jetpack Proficiency</b> <i>Since you were a child you dreamt of flying rockets. Perhaps now you can!</i>","","<b>喷气背包熟练</b> <i>从小你就梦想着飞行火箭。也许现在你可以实现了！</i>","<b>Maîtrise du Jetpack</b> <i>Depuis votre enfance, vous rêviez de fusées volantes. Peut-être pouvez‑vous enfin !</i>","<b>Jetpack-Kenntnisse</b>
<i>Schon als Kind hast du davon geträumt, mit Raketen zu fliegen. Vielleicht ist jetzt deine Zeit gekommen!</i>","","","<b>Знание реактивного ранца.</b>
<i>С самого детства вы мечтали летать. И вот, мечты сбываются!</i>","",""
"PR_BC_PRIVILEGED","Text","PRIVILEGED","","特权阶层","VIP","PRIVILEGIERT","","","БЫВШИЙ МИЛЛИОНЕР","",""
"PR_BC_PRIVILEGED_DESC","Text","<b>Speed +2, Perception +4, Carry Weight -25%</b> <i>You were riding out the Apocalypse in First Class and letting others carry your load for you. It didn't last, and the run for your life that followed gave you a new awareness.</i>","","<b>速度 +2，感知 +4，携带重量 -25%</b> <i>你曾在头等舱中度过末日，让别人帮你分担负重。虽然没能持续多久，但随后的逃命经历让你获得了新的觉悟。</i>","<b>Vitesse +2, Perception +4, Capacité de transport -25%</b> <i>Vous traversiez l’Apocalypse en Première Classe, laissant les autres porter vos affaires. Ça n’a pas duré, et la course pour votre vie qui a suivi vous a donné une nouvelle conscience.</i>","<b>Geschwindigkeit +2, Wahrnehmung +4,
Traglast -25%</b>
<i>Du hast die Apokalypse in der ersten Klasse ausgesessen und andere deine Last tragen lassen. Es hielt nicht lange – und die anschließende Flucht um dein Leben schärfte deine Wahrnehmung.</i>","","","<b>Скорость +2, Восприятие +4, Грузоподъемность -25%</b>
<i>Вы улетали от Апокалипсиса в первом классе, а прислуга несла ваш багаж. Но борьба за выживание привела к переосмыслению жизненных ценностей.</i>","",""
"PR_BC_FRENZY","Text","FRENZY","","狂暴","FRÉNÉSIE","WUTRAUSCH","","","ИССУПЛЕНИЕ","",""
"PR_BC_FRENZY_DESC","Text","Instils Frenzy in friendly characters within 20 tiles for two turns, increasing their Speed by 33% and making them immune to panic","","在20格范围内对友军施加狂暴状态，持续两回合，提升他们33%的速度并使其免疫恐慌","Provoque la Frénésie chez les alliés dans un rayon de 20 cases pendant 2 tours, augmentant leurs vitesses de déplacement de 33% et les rendant immunisés à la panique.","Versetzt verbündete Charaktere im Umkreis von 20 Feldern für 2 Runden in Wutrausch, erhöht ihre Geschwindigkeit um 33% und macht sie immun gegen Panik.","","","Союзники в радиусе 20 клеток впадают в Иссупление на 2 хода (невосприимчивость к панике и увеличение скорости на 33%)","",""
"PR_BC_FRENZY_STATUS_DESC","Text","Speed increased by 33% and immune to panic","","速度提升33%，免疫恐慌","Vitesse augmentée de 33% et immunité à la panique.","Geschwindigkeit um 33% erhöht und immun gegen Panik.","","","Скорость увеличена на 33%, невосприимчивость к панике","",""
"KEY_RETURNFIRE_DESCRIPTION","Text","Shoot back at an enemy when it attacks, provided the soldier is using a direct-fire projectile weapon with proficiency, and the enemy is within half perception range. Once per turn.","","当敌人攻击时反击，前提是士兵使用的是熟练的直接射击投射武器，且敌人在感知范围的一半内。每回合一次。","Riposte contre un ennemi lorsqu’il attaque, à condition que l'unité utilise une arme à projectiles à tir direct avec maîtrise, et que l’ennemi soit à portée de la moitié de la Perception. Une fois par tour.","Schießt einmal zurück, wenn ein Gegner angreift, sofern der Soldat eine beherrschte direkt feuernde Projektilwaffe benutzt und der Gegner sich innerhalb der halben Wahrnehmungsreichweite befindet. Einmal pro Zug.","","","Стреляйте в ответ по врагу, когда он атакует, если у бойца активно профильное огнестрельное оружие, а враг находится в пределах половины диапазона Восприятия. 1 раз за ход.","",""
"KEY_TECHNICIAN_REMOTE_DEPLOYMENT_DESCRIPTION","Text","Turrets can be thrown for 1 Action Point and 2 Will Points","","炮塔可消耗1行动力和2意志力投掷部署","Les tourelles peuvent être lancées pour 1 point d’action et 2 points de Volonté.","Geschütztürme können für 1 Aktionspunkt und 2 Willenspunkte geworfen werden.","","","Турели можно бросать вдаль за 1 Очко Действий и 2 Очка Воли","",""
"KEY_ASSAULT_RIFLES_TALENT_DESCRIPTION","Text","Proficiency with Assault Rifles","","精通突击步枪","Maîtrise des Fusils d’Assaut","Beherrschung von Sturmgewehren","","","Обучен применению автоматов в бою","",""
"KEY_GRENADES_TALENT_DESCRIPTION","Text","Proficiency with Grenades","","精通手榴弹","Maîtrise des Grenades","Beherrschung von Granaten","","","Обучен применению гранат в бою","",""
